,sistema_costeiro,bioma,area,populacao,temp_media,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,n_pertence,mata_atlantica,148.074,2618,23.00,21.08,22.60,25.28,30.36,32.92,33.89,40.93,45.29,53.03,48.91,54.94,57.79,63.61,62.43,74.61
,n_pertence,mata_atlantica,92.561,1625,23.00,13.61,15.38,15.76,15.98,16.69,18.54,21.84,23.07,23.20,22.81,23.44,24.28,27.66,26.21,28.91
,Pertence,mata_atlantica,138.947,30539,23.00,1130.97,1256.02,1310.19,1524.02,1766.69,1804.58,1898.76,2060.15,2247.26,3595.02,2338.39,2523.05,2715.27,2903.02,3286.02
,n_pertence,mata_atlantica,93.852,2712,23.00,32.71,35.21,38.76,40.95,42.59,45.21,51.79,60.26,59.43,62.89,67.65,69.66,81.25,78.34,84.28
,n_pertence,mata_atlantica,388.291,11896,23.00,44.42,44.23,47.97,51.68,52.35,58.21,62.28,65.96,70.19,71.51,74.84,86.64,90.20,81.25,87.57
,Pertence,mata_atlantica,365.755,70471,23.00,3106.15,3431.34,3372.69,3089.97,3638.06,3935.00,3418.05,2165.32,2200.78,1809.54,1355.11,1087.29,976.83,1097.64,1113.63
,n_pertence,mata_atlantica,518.619,366418,23.00,19609.42,19384.55,20392.64,22032.47,23242.03,23271.09,24138.87,25390.18,25871.07,25437.55,26283.45,26470.86,27635.64,26923.79,28593.10
,n_pertence,mata_atlantica,510.673,3501,23.00,48.97,43.14,44.52,49.34,50.40,51.14,53.16,64.87,64.99,65.93,77.68,80.72,89.08,91.22,93.68
,n_pertence,mata_atlantica,938.516,4801,23.00,78.00,86.84,95.33,103.50,113.77,114.29,121.13,130.97,124.86,117.69,145.49,143.17,152.67,136.48,160.79
,n_pertence,mata_atlantica,67.777,2136,23.00,24.29,26.18,28.32,30.41,33.77,36.65,40.72,45.98,45.49,48.02,47.01,48.57,55.10,50.62,57.27
,n_pertence,mata_atlantica,1057.034,10153,23.00,250.15,240.77,269.27,272.34,310.26,314.05,324.68,348.52,351.80,360.22,393.54,397.58,412.25,396.97,433.64
,n_pertence,mata_atlantica,296.256,5396,23.00,135.82,140.34,142.43,156.26,184.61,199.50,215.49,245.46,259.61,287.59,297.78,299.97,307.99,311.24,343.27
,n_pertence,mata_atlantica,89.411,3794,23.00,123.40,125.42,133.03,146.30,159.25,178.82,187.41,204.44,213.91,210.34,226.57,229.33,228.89,218.55,228.91
,n_pertence,mata_atlantica,336.439,2318,23.00,36.34,37.85,48.39,40.93,45.04,45.01,48.79,53.36,56.71,61.60,67.75,67.14,68.58,70.71,82.56
,n_pertence,mata_atlantica,284.675,140597,23.00,6182.95,6242.79,6883.03,7289.21,7801.85,8159.26,8634.03,9298.22,9697.72,9527.08,9739.09,10122.28,10445.05,10282.93,10827.73
,n_pertence,mata_atlantica,983.424,80017,23.00,2936.08,2866.44,3012.06,3199.96,3412.79,3443.18,3526.00,3789.68,3871.91,3716.38,4096.38,3984.23,4282.08,3976.48,4541.53
,n_pertence,mata_atlantica,173.079,6112,23.00,155.34,149.60,163.68,171.12,190.37,199.94,196.96,218.47,230.67,241.48,251.79,263.98,258.88,254.75,300.71
,n_pertence,mata_atlantica,636.208,3325,23.00,53.10,52.15,57.62,63.66,71.52,73.23,75.67,78.77,79.19,84.86,89.17,96.86,91.98,93.28,97.16
,Pertence,mata_atlantica,210.568,87179,23.00,2654.54,2329.34,2767.63,3137.92,3545.09,3686.67,4047.68,4630.65,4765.04,5226.00,5303.21,5581.83,5972.88,6276.46,6899.83
,n_pertence,mata_atlantica,1025.638,6889,23.00,166.92,165.37,168.22,187.67,182.15,190.69,194.71,217.62,227.61,225.92,235.28,327.61,257.85,255.46,260.25
,n_pertence,mata_atlantica,479.161,8312,22.00,237.98,227.77,242.54,260.04,288.46,295.87,301.54,330.10,342.88,357.76,382.00,394.85,408.44,416.90,439.24
,n_pertence,mata_atlantica,1717.697,36861,22.00,1203.94,1158.77,1239.04,1336.90,1440.26,1468.49,1583.82,1726.07,1781.42,1749.11,1944.26,1946.93,2225.73,1914.78,2203.29
,n_pertence,mata_atlantica,151.008,12553,22.00,414.90,419.34,529.00,517.76,555.16,567.59,587.82,629.00,644.71,656.83,660.76,648.97,676.75,685.05,788.31
,n_pertence,mata_atlantica,1148.036,54558,22.00,1866.21,1809.80,1910.74,2034.17,2205.73,2240.03,2386.36,2487.21,2521.92,2469.05,2771.15,2715.65,2799.92,2718.92,2958.14
