,sistema_costeiro,bioma,area,populacao,temp_media,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,n_pertence,amazonia,450.224,8084,27.00,2488.52,2624.27,2760.02,2895.78,3031.53,3167.28,3303.04,3651.39,3800.63,3775.01,4224.69,4396.00,4396.00,4567.30,4738.61
,n_pertence,amazonia,3312.708,12976,27.00,7218.41,6997.01,6775.61,6554.22,6332.82,6111.42,5890.02,6381.37,7012.83,7376.52,8015.64,8380.94,8380.94,8746.25,9111.55
,n_pertence,amazonia,7173.194,32325,27.00,1957.00,2501.59,3046.18,3590.77,4135.36,4679.95,5224.54,5812.59,7009.96,8134.59,9650.21,10519.68,10519.68,11389.15,12258.62
,n_pertence,amazonia,3363.749,32007,27.00,4063.02,4647.43,5231.84,5816.25,6400.66,6985.07,7569.49,8597.60,9587.74,10033.88,11801.11,12612.69,12612.69,13424.28,14235.87
,n_pertence,amazonia,25384.960,63831,27.00,10631.20,10958.56,11285.93,11613.30,11940.67,12268.04,12595.41,12026.08,13470.92,14196.14,14804.00,15277.17,15277.17,15750.34,16223.51
,n_pertence,amazonia,17423.017,42456,27.00,1132.52,2340.33,3548.14,4755.96,5963.77,7171.58,8379.39,10232.96,10013.24,9504.36,11580.07,12210.01,12210.01,12839.95,13469.89
,n_pertence,amazonia,14786.953,29827,27.00,2533.94,2519.16,2504.39,2489.61,3474.83,5460.05,7445.27,10298.99,10019.98,10156.01,13462.71,14659.37,14659.37,15856.03,17052.70
,n_pertence,amazonia,258.600,10889,27.00,2763.91,3080.44,3396.97,3713.49,4030.02,4346.55,4663.08,5252.37,6002.50,7106.10,8217.53,8903.38,8903.38,9589.24,10275.09
,n_pertence,amazonia,302.939,13794,27.00,2647.13,2953.17,3259.21,3565.25,3871.29,4177.34,4483.38,5055.39,5152.91,5071.75,5771.50,6017.34,6017.34,6263.18,6509.01
,n_pertence,amazonia_cerrado,3823.809,86326,27.00,71059.34,71712.86,72366.38,73019.90,73673.42,74326.94,74980.46,83253.57,102462.30,112045.14,130580.98,140872.80,140872.80,151164.62,161456.45
,n_pertence,amazonia_cerrado,4114.627,18208,27.00,10709.91,12128.84,13547.77,14966.69,16385.62,17804.55,19223.48,21951.35,23435.72,25127.19,29051.46,30937.21,30937.21,32822.96,34708.71
,n_pertence,amazonia,8246.394,53242,27.00,26318.93,28073.81,29828.70,31583.58,33338.46,35093.35,36848.23,39479.42,41131.75,40294.56,44443.84,45912.43,45912.43,47381.03,48849.62
,n_pertence,amazonia,7021.321,52473,27.00,6702.21,7453.78,8205.35,8956.92,9708.49,10460.06,11211.63,12018.47,12840.63,13781.58,15371.28,16198.49,16198.49,17025.69,17852.89
,pertence,amazonia,226.120,41164,27.00,15140.76,19710.51,24280.27,28850.02,33419.77,37989.53,42559.28,46502.21,47334.14,48110.70,54506.05,57007.78,57007.78,59509.50,62011.22
,n_pertence,amazonia,918.563,24392,27.00,10580.74,10894.77,11208.80,11522.83,11836.86,12150.89,12464.92,13647.75,14895.23,17090.45,18973.62,20204.56,20204.56,21435.50,22666.44
,n_pertence,amazonia,278.154,21811,27.00,7247.64,7807.61,8367.59,8927.56,9487.54,10047.51,10607.49,12492.89,13668.66,15979.15,18528.92,20021.37,20021.37,21513.81,23006.26
,n_pertence,amazonia,1076.652,10496,27.00,139.64,476.11,812.58,1149.05,1485.52,1821.99,2158.46,2478.99,2545.45,2593.73,3091.90,3284.95,3284.95,3478.00,3671.04
,n_pertence,amazonia,717.662,72856,27.00,75929.58,75169.40,74409.23,73649.05,72888.87,72128.70,71368.52,76109.41,88711.75,94702.58,105600.59,111849.69,111849.69,118098.79,124347.89
,n_pertence,amazonia,1346.502,19839,27.00,5022.45,5294.19,5565.94,5837.69,6109.44,6381.19,6652.93,7132.86,8155.00,8232.79,9393.07,9913.59,9913.59,10434.12,10954.65
,n_pertence,amazonia_cerrado,10330.214,22244,27.00,7243.49,7017.77,6792.04,6566.32,6340.60,6114.87,5889.15,6417.75,7535.34,8968.41,9926.41,10661.73,10661.73,11397.06,12132.39
,n_pertence,amazonia,457.724,25127,27.00,5592.29,7106.84,8621.38,10135.93,11650.48,13165.02,14679.57,16163.46,17566.43,18271.41,21209.04,22519.00,22519.00,23828.96,25138.93
,n_pertence,amazonia_cerrado,11591.441,75995,27.00,37048.73,34858.88,32669.04,30479.19,28289.34,26099.50,23909.65,29435.97,30556.99,34905.38,38685.14,41111.06,41111.06,43536.97,45962.88
,n_pertence,amazonia,17898.389,308339,27.00,193704.01,203077.61,212451.21,221824.81,231198.40,240572.00,249945.60,271331.46,322632.79,367071.28,420584.92,453153.49,453153.49,485722.07,518290.64
,n_pertence,amazonia,229.510,6796,27.00,1881.96,1928.51,1975.05,2021.60,2068.14,2114.69,2161.24,2226.07,2156.91,2284.35,2322.65,2356.15,2356.15,2389.65,2423.14
,n_pertence,amazonia,537.618,32346,27.00,10692.15,11280.93,11869.70,12458.47,13047.25,13636.02,14224.79,15347.90,17523.15,18484.44,21041.34,22340.86,22340.86,23640.38,24939.90
,n_pertence,amazonia,464.166,18207,27.00,2783.49,3694.11,4604.72,5515.34,6425.95,7336.57,8247.19,8143.94,8510.24,9139.09,9822.64,10209.45,10209.45,10596.26,10983.07
,n_pertence,amazonia,1392.464,25945,27.00,6425.60,7188.41,7951.23,8714.04,9476.85,10239.66,11002.47,12050.40,13283.10,14821.30,16856.95,18001.34,18001.34,19145.73,20290.12
,n_pertence,amazonia,1686.765,32285,27.00,1551.40,2531.68,3511.95,4492.23,5472.50,6452.78,7433.06,8053.60,8433.33,8222.40,9534.84,9988.79,9988.79,10442.74,10896.69
,n_pertence,amazonia,84212.903,135732,27.00,20355.55,20057.46,19759.37,19461.28,19163.19,18865.10,18567.01,19294.63,26465.39,31576.52,36282.21,39614.33,39614.33,42946.45,46278.57
,n_pertence,amazonia,479.441,15978,27.00,3260.41,4151.82,5043.23,5934.64,6826.05,7717.46,8608.87,8726.36,9824.28,10028.07,11315.66,11899.33,11899.33,12482.99,13066.66
,n_pertence,amazonia,3168.384,24566,27.00,14157.63,14325.31,14493.00,14660.68,14828.36,14996.04,15163.72,17140.83,18478.68,21299.94,23784.95,25377.23,25377.23,26969.50,28561.78
,n_pertence,amazonia,195.918,6294,27.00,1409.46,1486.49,1563.51,1640.54,1717.56,1794.58,1871.61,2064.14,2331.30,2386.07,2746.61,2910.87,2910.87,3075.14,3239.41
,n_pertence,amazonia,668.434,23440,27.00,8299.06,8539.55,8780.03,9020.52,9261.00,9501.49,9741.97,9681.15,9976.67,10659.26,10932.20,11187.23,11187.23,11442.25,11697.28
,n_pertence,amazonia,1279.889,14105,27.00,3114.08,3388.90,3663.72,3938.54,4213.36,4488.19,4763.01,5020.35,4942.69,5922.36,6246.53,6551.33,6551.33,6856.14,7160.94
,n_pertence,amazonia,1094.564,60268,27.00,27885.51,30620.29,33355.07,36089.85,38824.63,41559.41,44294.19,48731.23,52251.38,53804.44,61107.03,64351.76,64351.76,67596.48,70841.21
,n_pertence,amazonia,1632.251,27302,27.00,1950.36,2698.23,3446.11,4193.98,4941.86,5689.73,6437.61,7084.81,7924.25,7876.88,9347.03,9933.13,9933.13,10519.22,11105.31
,n_pertence,amazonia,1298.190,6088,27.00,4083.51,4127.27,4171.03,4214.79,4258.54,4302.30,4346.06,4845.40,4842.67,4897.93,5322.01,5490.80,5490.80,5659.59,5828.37
,n_pertence,amazonia,14419.916,11305,27.00,2515.16,2999.31,3483.46,3967.62,4451.77,4935.92,5420.07,5296.13,6083.22,7051.96,7715.55,8205.08,8205.08,8694.60,9184.12
,n_pertence,amazonia,2857.349,25752,27.00,10271.28,10731.79,11192.31,11652.82,12113.33,12573.85,13034.36,13055.43,14570.15,17309.28,18511.28,19611.95,19611.95,20712.61,21813.28
,n_pertence,amazonia,4430.477,111554,27.00,31429.42,31389.12,31348.81,31308.50,31268.20,31227.89,31187.59,34662.56,47400.98,53193.15,63591.99,69606.38,69606.38,75620.78,81635.17
,n_pertence,amazonia,204.970,11971,27.00,3535.74,3725.52,3915.30,4105.08,4294.86,4484.64,4674.42,4694.73,5349.48,5497.56,6020.52,6290.61,6290.61,6560.70,6830.78
,n_pertence,amazonia,1895.883,19063,27.00,1177.43,2606.61,4035.78,5464.95,6894.13,8323.30,9752.47,11219.49,11384.75,11540.55,13670.83,14477.51,14477.51,15284.19,16090.87
,n_pertence,amazonia,5145.361,64604,27.00,30722.64,32262.16,33801.68,35341.20,36880.72,38420.24,39959.76,43977.22,47432.35,48530.33,54741.09,57510.37,57510.37,60279.64,63048.92
,n_pertence,amazonia,868.025,31549,27.00,3319.27,4125.89,4932.52,5739.14,6545.76,7352.38,8159.00,8320.44,8761.85,9088.76,9966.73,10374.28,10374.28,10781.84,11189.40
,n_pertence,amazonia,11991.085,19344,27.00,4708.61,4912.20,5115.79,5319.38,5522.97,5726.57,5930.16,6128.83,7405.37,8535.69,9582.71,10292.06,10292.06,11001.40,11710.75
,n_pertence,amazonia,2512.594,40661,27.00,19943.25,21439.39,22935.53,24431.67,25927.81,27423.95,28920.09,35184.81,42046.68,48815.35,58841.93,64432.87,64432.87,70023.81,75614.75
,n_pertence,amazonia,2084.289,116605,27.00,76479.72,74547.93,72616.13,70684.33,68752.53,66820.73,64888.94,69401.72,79702.61,82460.06,91091.75,95700.98,95700.98,100310.21,104919.45
,n_pertence,amazonia,5088.468,62286,27.00,5737.88,8503.24,11268.59,14033.95,16799.30,19564.66,22330.01,22195.10,24151.76,25512.03,28237.31,29608.95,29608.95,30980.60,32352.25
,n_pertence,amazonia,10791.406,45395,27.00,14732.40,16484.18,18235.97,19987.75,21739.53,23491.31,25243.09,23775.18,29812.27,30992.31,34491.30,36448.42,36448.42,38405.54,40362.66
,n_pertence,amazonia,401.589,54650,27.00,18186.65,21071.18,23955.71,26840.24,29724.77,32609.30,35493.83,37071.72,38816.17,39106.93,43146.62,44778.38,44778.38,46410.14,48041.90
,n_pertence,amazonia,4972.897,62093,27.00,8668.72,9851.72,11034.72,12217.71,13400.71,14583.70,15766.70,17964.26,19382.09,18914.66,22233.20,23460.94,23460.94,24688.67,25916.40
,n_pertence,amazonia,3089.537,15421,27.00,3561.97,3737.81,3913.64,4089.48,5565.32,7041.16,8517.00,58068.68,126135.37,144232.02,225598.89,264798.90,264798.90,303998.91,343198.92
,n_pertence,amazonia,3779.348,45416,27.00,46477.35,48256.16,50034.96,51813.77,53592.58,55371.39,57150.20,59841.19,66918.66,75826.98,83293.54,88361.50,88361.50,93429.46,98497.43
,pertence,amazonia_cerrado,880.461,38732,33.00,75.54,75.57,75.60,75.64,75.67,75.70,75.73,75.77,75.80,75.83,75.87,75.90,75.93,75.97,76.00
,pertence,cerrado,1817.067,13704,25.00,137.77,137.77,137.77,137.77,137.77,137.77,137.78,137.78,137.78,137.78,137.78,137.78,137.78,137.78,137.78
,pertence,cerrado,470.551,16219,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13,113.61,0.00,0.00,0.00,0.00,0.00
,n_pertence,cerrado,101.886,14516,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.44,0.00,0.00,0.00,0.00,0.00
,pertence,cerrado,815.422,18769,25.00,1.96,2267.87,2485.28,2750.81,3147.89,3500.48,3764.31,4140.18,4523.28,4883.84,5786.37,5278.02,5532.46,5635.42,6049.02
,pertence,amazonia,1320.344,45989,25.00,5511.65,5800.12,6048.00,6456.19,7431.64,8182.78,9036.40,9988.39,10798.81,11295.41,13530.31,12625.06,13086.51,13499.03,14189.64
,n_pertence,cerrado,492.167,28825,25.00,3089.78,3814.17,4383.94,4657.59,5555.47,5882.12,6440.65,7310.44,7738.15,8227.95,9562.82,9116.44,9255.66,9583.02,10336.27
,n_pertence,cerrado,232.091,7448,25.00,1005.97,1041.56,1192.27,1283.16,1430.47,1529.52,1719.99,1980.46,2205.53,2468.06,2939.10,2860.92,2842.10,3063.24,3340.88
,n_pertence,cerrado,820.079,34391,25.00,5326.53,5993.61,6533.15,7155.97,8348.83,8880.26,9860.59,11148.05,12353.35,13839.83,16305.20,15528.49,15713.58,15908.31,16781.00
,n_pertence,cerrado,1256.607,4540,25.00,390.89,0.46,575.70,567.01,673.48,696.97,869.42,1016.65,1119.71,1232.99,1439.97,1322.18,1537.92,1673.26,1805.22
,n_pertence,cerrado,1348.913,12082,25.00,1140.59,1349.15,1651.39,1774.28,1905.94,2078.12,2199.63,2478.49,2717.27,2790.07,3499.49,3225.15,3166.19,3151.83,3472.58
,n_pertence,cerrado,649.680,12226,25.00,902.16,1132.32,1573.76,1738.90,1995.08,2092.49,2508.37,2932.82,3250.37,3416.68,4046.42,3821.01,3863.95,3978.31,4246.76
,pertence,amazonia,161.356,20736,25.00,1889.85,1842.79,1800.51,1932.60,2508.93,3188.26,3457.97,4010.63,4469.19,4361.81,5211.00,4932.39,5045.53,5414.86,6024.79
,n_pertence,amazonia,58.010,15768,25.00,633.48,753.18,760.32,1085.53,1339.16,1434.94,1959.71,2244.00,2450.79,2740.36,3340.30,3303.97,3472.78,3321.85,3781.26
,n_pertence,cerrado,510.250,11207,25.00,979.20,1058.67,1711.88,1772.42,1973.50,2242.45,2705.79,3172.41,3466.26,3639.56,4448.52,4344.95,4483.74,4601.03,4727.32
,n_pertence,cerrado,850.446,18746,25.00,1036.59,1424.53,1690.50,1961.83,2258.72,2533.32,2848.59,3141.66,3512.46,3725.49,4409.96,4068.50,4175.08,4148.56,4400.89
,n_pertence,cerrado,130.815,26063,25.00,4826.69,5497.52,5950.72,6022.81,6767.76,7094.18,7909.14,8778.50,9669.63,10462.61,11925.67,11009.45,10948.23,11521.50,12499.29
,pertence,amazonia,2294.426,180345,25.00,28440.11,37498.62,40177.33,48873.75,58571.48,63144.52,67553.66,86894.75,109116.81,120237.55,144105.02,144171.71,143936.27,145565.31,163562.44
,n_pertence,cerrado,166.972,7639,25.00,1098.64,1165.17,1354.48,1491.83,1695.80,1800.55,1916.80,2099.49,2229.27,2313.86,2688.29,2466.52,2634.75,2685.32,2937.07
,pertence,amazonia,460.685,1115932,25.00,362681.62,397898.00,411664.44,467564.44,547346.06,578679.61,630946.56,704628.12,749404.56,760452.60,824600.31,795233.77,789699.99,808435.61,871874.97
,n_pertence,amazonia_cerrado,362.010,18600,25.00,3582.89,3791.84,4033.06,4304.49,4886.06,5213.46,5668.64,6252.19,6693.86,6785.01,7428.50,7270.26,7325.94,7200.76,7186.97
,n_pertence,amazonia_cerrado,103.690,41750,25.00,7360.29,7662.09,8257.70,9087.87,10308.62,11096.32,12139.29,13670.69,15091.96,15856.85,18811.34,16991.70,17022.31,17421.14,18656.45
,n_pertence,amazonia,518.053,12779,25.00,2071.99,2254.77,2549.53,2793.00,3030.24,3216.86,3440.99,3804.21,4304.96,4587.56,5831.87,5410.24,5242.08,5236.86,5676.37
,n_pertence,cerrado,278.175,4700,25.00,417.59,482.31,721.99,847.18,948.51,906.39,979.70,1158.99,1190.15,1212.82,1370.64,1375.38,1599.13,1656.09,1833.17
,n_pertence,cerrado,599.443,19090,25.00,2371.20,2658.03,2994.36,3288.90,3813.65,4098.84,4778.60,5648.72,6260.83,6911.38,8472.72,8154.77,8398.65,8941.47,9340.20
,n_pertence,cerrado,374.008,5028,25.00,526.84,594.77,611.68,682.19,782.88,814.64,893.34,1029.18,1447.33,1506.07,1866.36,1742.05,1781.59,1837.41,1853.37
,n_pertence,cerrado,136.186,6856,25.00,548.55,649.24,735.81,803.85,904.97,958.35,1105.81,1301.49,1393.78,1505.89,1740.91,1563.40,1622.42,1599.72,1668.83
,pertence,amazonia,469.396,22452,25.00,2041.26,2309.02,2586.44,2686.15,3166.19,3510.69,3768.43,4236.41,4791.47,4770.46,5618.53,5225.04,5325.71,5278.82,5437.35
,n_pertence,amazonia,695.672,14274,25.00,570.76,740.72,804.55,893.51,1067.24,1301.88,2273.71,2331.21,2075.49,2242.28,2613.01,2474.99,2662.51,2660.37,2764.05
,n_pertence,cerrado,1005.285,11285,25.00,1475.24,1544.88,1668.24,1765.77,2014.81,2179.74,2454.42,2712.79,2958.62,3089.83,3547.76,3213.09,3295.14,3342.72,3526.33
,n_pertence,cerrado,185.211,13981,25.00,3196.83,3470.80,4140.44,4812.35,5268.88,5447.00,5783.16,6416.27,6995.89,7200.57,8268.31,7609.43,7957.94,8131.65,8743.82
,pertence,amazonia,529.915,10343,25.00,535.87,673.14,859.93,1085.48,1327.69,1446.17,1601.74,1789.37,1915.33,1923.96,2305.53,2109.79,2083.28,2064.05,2185.24
,n_pertence,cerrado,787.061,18237,25.00,1100.99,1283.64,1530.13,1674.73,2000.69,2416.22,3155.82,3667.07,4088.43,4656.01,5611.63,5751.67,6065.91,6417.80,6744.89
,n_pertence,cerrado,83.802,10631,25.00,1341.60,1484.28,1617.20,1723.60,1910.47,2008.52,2219.08,2517.71,2785.91,2962.25,3621.83,3296.98,3345.32,3603.80,3812.95
,n_pertence,cerrado,187.538,5692,25.00,498.64,627.22,775.65,822.32,906.31,955.03,1103.86,1230.17,1327.56,1358.55,1590.52,1460.68,1475.66,1543.22,1642.22
,n_pertence,cerrado,106.608,8642,25.00,765.72,843.94,946.31,1118.02,1341.12,1512.87,1971.47,2475.74,2742.13,3086.32,3758.59,3560.74,3900.97,4158.94,4405.88
,n_pertence,cerrado,2236.279,29241,25.00,2781.27,3020.28,3438.00,4043.52,4792.94,5231.16,5828.82,6416.02,6716.16,7063.78,8317.45,7726.67,7945.01,8400.93,9123.78
,n_pertence,cerrado,2729.777,171317,25.00,32915.26,37852.28,41466.41,45872.80,52748.55,54921.21,63609.76,73517.83,80641.74,86835.51,99098.36,95409.76,96878.40,100875.04,110952.00
,n_pertence,cerrado,89.420,22223,25.00,4404.74,4745.81,4905.09,5217.35,5839.93,6223.16,7166.64,8087.93,8839.09,9413.65,11177.05,10314.89,10337.55,10793.42,11449.82
,n_pertence,amazonia,303.793,5868,25.00,605.97,703.17,745.90,768.54,907.33,1003.56,1169.09,1307.52,1530.52,1594.39,1792.50,1690.02,1694.71,1669.72,1834.03
,n_pertence,cerrado,294.354,42242,25.00,5484.24,6419.10,6934.59,7306.98,8284.66,8695.72,9758.64,10681.65,11206.87,11603.67,13306.86,12594.08,13235.92,13536.64,14607.24
,pertence,amazonia,173.894,35811,25.00,2109.12,2419.01,2397.41,3060.00,5366.03,5778.50,6005.67,6845.57,7449.03,7496.41,8296.52,7922.42,7773.90,7924.28,8713.19
,pertence,amazonia,245.522,26112,25.00,1559.23,1802.75,2167.72,2468.08,2904.91,3372.39,3931.51,4555.30,5044.23,5497.84,6568.34,6004.69,6132.85,6152.78,6581.12
,pertence,cerrado,1164.062,59927,25.00,5099.91,5825.80,6552.31,7832.55,9613.63,10515.07,11543.94,13215.77,14422.85,15275.36,17728.32,16746.18,17183.51,17910.25,20187.77
,pertence,cerrado,162.875,33791,25.00,2475.68,3096.82,3485.34,4251.01,5262.52,5602.07,5962.49,6635.80,7273.87,7765.37,9271.93,8800.11,9395.12,9741.24,10656.01
,n_pertence,cerrado,509.873,57813,25.00,3780.13,4181.71,4847.87,5570.47,6984.54,7914.97,8820.25,9843.51,10783.40,11061.16,12689.75,11761.17,12340.72,13434.16,14396.88
,pertence,amazonia,283.124,52852,25.00,6766.46,7805.33,8439.84,8961.74,10590.42,11659.32,12890.37,14648.01,16037.85,16630.70,19423.73,18696.37,19062.24,19720.33,21531.94
,n_pertence,amazonia,159.378,13800,25.00,1186.01,1288.45,1567.07,1696.00,1722.39,1928.94,2113.72,2571.20,3027.31,3330.19,4175.07,4171.99,4274.81,4295.97,4920.92
,pertence,amazonia,243.329,32956,25.00,4894.29,5053.69,5535.94,5988.59,7045.13,7540.83,8415.72,9539.06,10709.16,11605.02,13914.45,12612.17,12550.07,12868.36,13424.78
,n_pertence,amazonia,5279.419,31520,25.00,5776.16,6364.91,6816.24,7439.94,8239.17,8490.92,9120.04,10171.61,11065.07,11444.85,13600.80,12679.41,12919.30,13299.60,14075.99
,n_pertence,amazonia,158.891,52190,25.00,7275.83,7978.29,8588.35,9825.48,11316.79,11771.25,12727.85,14549.91,15696.43,16020.92,18860.71,17582.91,17528.46,17776.72,19217.69
,pertence,amazonia_cerrado,1264.245,64005,33.00,3054.80,3503.44,3772.22,4649.68,5910.82,7038.96,7965.26,9760.64,10944.23,11483.03,13269.96,12721.69,12549.18,12512.67,11953.09
,pertence,cerrado,710.645,17868,33.00,641.96,858.25,971.56,1020.91,1189.15,1222.09,1348.73,1649.73,1881.45,1893.61,2223.94,2145.28,2189.73,2225.36,7737.73
,pertence,cerrado,769.504,35310,33.00,557.93,767.54,920.47,1042.98,1503.85,1480.59,1569.66,1760.93,2009.81,2219.43,3078.27,2646.70,2716.69,2948.18,3347.40
,n_pertence,cerrado,174.900,2903,33.00,2218.03,2385.69,2527.52,2772.01,3242.13,3483.01,4631.34,5577.38,5917.58,6049.59,6949.16,6710.17,6853.11,7025.25,7891.33
,pertence,cerrado,843.599,25324,33.00,1956.14,2267.87,2485.28,2750.81,3147.89,3500.48,3764.31,4140.18,4523.28,4883.84,5786.37,5278.02,5532.46,5635.42,6049.02
,pertence,amazonia,212.721,14447,33.00,5511.65,5800.12,6048.00,6456.19,7431.64,8182.78,9036.40,9988.39,10798.81,11295.41,13530.31,12625.06,13086.51,13499.03,14189.64
,n_pertence,cerrado,720.512,27331,33.00,3089.78,3814.17,4383.94,4657.59,5555.47,5882.12,6440.65,7310.44,7738.15,8227.95,9562.82,9116.44,9255.66,9583.02,10336.27
,n_pertence,cerrado,141.855,7618,33.00,1005.97,1041.56,1192.27,1283.16,1430.47,1529.52,1719.99,1980.46,2205.53,2468.06,2939.10,2860.92,2842.10,3063.24,3340.88
,n_pertence,cerrado,130.694,20158,33.00,5326.53,5993.61,6533.15,7155.97,8348.83,8880.26,9860.59,11148.05,12353.35,13839.83,16305.20,15528.49,15713.58,15908.31,16781.00
,n_pertence,cerrado,111.073,11202,33.00,390.89,460.90,575.70,567.01,673.48,696.97,869.42,1016.65,1119.71,1232.99,1439.97,1322.18,1537.92,1673.26,1805.22
,n_pertence,cerrado,965.292,75662,33.00,1140.59,1349.15,1651.39,1774.28,1905.94,2078.12,2199.63,2478.49,2717.27,2790.07,3499.49,3225.15,3166.19,3151.83,3472.58
,n_pertence,cerrado,297.937,6634,33.00,902.16,1132.32,1573.76,1738.90,1995.08,2092.49,2508.37,2932.82,3250.37,3416.68,4046.42,3821.01,3863.95,3978.31,4246.76
,pertence,amazonia,95.333,7344,33.00,1889.85,1842.79,1800.51,1932.60,2508.93,3188.26,3457.97,4010.63,4469.19,4361.81,5211.00,4932.39,5045.53,5414.86,6024.79
,n_pertence,amazonia,620.716,47910,33.00,633.48,753.18,760.32,1085.53,1339.16,1434.94,1959.71,2244.00,2450.79,2740.36,3340.30,3303.97,3472.78,3321.85,3781.26
,n_pertence,cerrado,279.088,10637,33.00,979.20,1058.67,1711.88,1772.42,1973.50,2242.45,2705.79,3172.41,3466.26,3639.56,4448.52,4344.95,4483.74,4601.03,4727.32
,n_pertence,cerrado,971.576,6977,33.00,1036.59,1424.53,1690.50,1961.83,2258.72,2533.32,2848.59,3141.66,3512.46,3725.49,4409.96,4068.50,4175.08,4148.56,4400.89
,n_pertence,cerrado,521.802,24064,33.00,4826.69,5497.52,5950.72,6022.81,6767.76,7094.18,7909.14,8778.50,9669.63,10462.61,11925.67,11009.45,10948.23,11521.50,12499.29
,pertence,amazonia,187.704,32462,33.00,28440.11,37498.62,40177.33,48873.75,58571.48,63144.52,67553.66,86894.75,109116.81,120237.55,144105.02,144171.71,143936.27,145565.31,163562.44
,n_pertence,cerrado,1242.345,34825,33.00,1098.64,1165.17,1354.48,1491.83,1695.80,1800.55,1916.80,2099.49,2229.27,2313.86,2688.29,2466.52,2634.75,2685.32,2937.07
,pertence,amazonia,159.950,62328,33.00,362681.62,397898.00,411664.44,467564.44,547346.06,578679.61,630946.56,704628.12,749404.56,760452.60,824600.31,795233.77,789699.99,808435.61,871874.97
,n_pertence,amazonia_cerrado,487.280,8073,33.00,3582.89,3791.84,4033.06,4304.49,4886.06,5213.46,5668.64,6252.19,6693.86,6785.01,7428.50,7270.26,7325.94,7200.76,7186.97
,n_pertence,amazonia_cerrado,353.404,34424,33.00,7360.29,7662.09,8257.70,9087.87,10308.62,11096.32,12139.29,13670.69,15091.96,15856.85,18811.34,16991.70,17022.31,17421.14,18656.45
,n_pertence,amazonia,1258.479,14042,33.00,473.11,473.11,473.11,473.11,473.11,473.11,473.11,499.54,4304.96,4587.56,5831.87,5410.24,5242.08,5236.86,5676.37
,n_pertence,cerrado,1456.095,13893,33.00,417.59,482.31,721.99,847.18,948.51,906.39,979.70,1158.99,1190.15,1212.82,1370.64,1375.38,1599.13,1656.09,1833.17
,n_pertence,cerrado,181.009,6115,33.00,2371.20,2658.03,2994.36,3288.90,3813.65,4098.84,4778.60,5648.72,6260.83,6911.38,8472.72,8154.77,8398.65,8941.47,9340.20
,n_pertence,cerrado,3202.984,20162,33.00,526.84,594.77,611.68,682.19,782.88,814.64,893.34,1029.18,1447.33,1506.07,1866.36,1742.05,1781.59,1837.41,1853.37
,n_pertence,cerrado,259.103,44570,33.00,548.55,649.24,735.81,803.85,904.97,958.35,1105.81,1301.49,1393.78,1505.89,1740.91,1563.40,1622.42,1599.72,1668.83
,pertence,amazonia,506.333,27934,33.00,2041.26,2309.02,2586.44,2686.15,3166.19,3510.69,3768.43,4236.41,4791.47,4770.46,5618.53,5225.04,5325.71,5278.82,5437.35
,n_pertence,amazonia,357.178,65963,33.00,570.76,740.72,804.55,893.51,1067.24,1301.88,2273.71,2331.21,2075.49,2242.28,2613.01,2474.99,2662.51,2660.37,2764.05
,n_pertence,cerrado,322.285,25655,33.00,1475.24,1544.88,1668.24,1765.77,2014.81,2179.74,2454.42,2712.79,2958.62,3089.83,3547.76,3213.09,3295.14,3342.72,3526.33
,n_pertence,cerrado,455.808,43141,33.00,3196.83,3470.80,4140.44,4812.35,5268.88,5447.00,5783.16,6416.27,6995.89,7200.57,8268.31,7609.43,7957.94,8131.65,8743.82
,pertence,amazonia,1307.862,94102,33.00,535.87,673.14,859.93,1085.48,1327.69,1446.17,1601.74,1789.37,1915.33,1923.96,2305.53,2109.79,2083.28,2064.05,2185.24
,n_pertence,cerrado,1065.685,189481,33.00,1100.99,1283.64,1530.13,1674.73,2000.69,2416.22,3155.82,3667.07,4088.43,4656.01,5611.63,5751.67,6065.91,6417.80,6744.89
,n_pertence,cerrado,400.010,155581,33.00,1341.60,1484.28,1617.20,1723.60,1910.47,2008.52,2219.08,2517.71,2785.91,2962.25,3621.83,3296.98,3345.32,3603.80,3812.95
,n_pertence,cerrado,2063.462,138690,33.00,498.64,627.22,775.65,822.32,906.31,955.03,1103.86,1230.17,1327.56,1358.55,1590.52,1460.68,1475.66,1543.22,1642.22
,n_pertence,cerrado,727.894,145593,33.00,765.72,843.94,946.31,1118.02,1341.12,1512.87,1971.47,2475.74,2742.13,3086.32,3758.59,3560.74,3900.97,4158.94,4405.88
,n_pertence,cerrado,81.101,44649,33.00,2781.27,3020.28,3438.00,4043.52,4792.94,5231.16,5828.82,6416.02,6716.16,7063.78,8317.45,7726.67,7945.01,8400.93,9123.78
,n_pertence,cerrado,282.254,71380,33.00,32915.26,37852.28,41466.41,45872.80,52748.55,54921.21,63609.76,73517.83,80641.74,86835.51,99098.36,95409.76,96878.40,100875.04,110952.00
,n_pertence,cerrado,157.727,204528,33.00,4404.74,4745.81,4905.09,5217.35,5839.93,6223.16,7166.64,8087.93,8839.09,9413.65,11177.05,10314.89,10337.55,10793.42,11449.82
